Id,ActivityDate,DayOfActivity,TotalSteps,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalDistanceCalc
1503960366,4/12/2016,Thursday,13162,1.879999995,0.550000012,6.059999943,0,25,13,328,728,1985,8.49
1503960366,4/13/2016,Friday,10735,1.570000052,0.689999998,4.710000038,0,21,19,217,776,1797,6.97
1503960366,4/14/2016,Saturday,10460,2.440000057,0.400000006,3.910000086,0,30,11,181,1218,1776,6.75
1503960366,4/15/2016,Sunday,9762,2.140000105,1.25999999,2.829999924,0,29,34,209,726,1745,6.23
1503960366,4/16/2016,Monday,12669,2.710000038,0.409999996,5.039999962,0,36,10,221,773,1863,8.16
1503960366,4/17/2016,Tuesday,9705,3.190000057,0.779999971,2.50999999,0,38,20,164,539,1728,6.48
1503960366,4/18/2016,Wednesday,13019,3.25,0.639999986,4.710000038,0,42,16,233,1149,1921,8.6
1503960366,4/19/2016,Thursday,15506,3.529999971,1.320000052,5.03000021,0,50,31,264,775,2035,9.88
1503960366,4/20/2016,Friday,10544,1.960000038,0.479999989,4.239999771,0,28,12,205,818,1786,6.68
1503960366,4/21/2016,Saturday,9819,1.340000033,0.349999994,4.650000095,0,19,8,211,838,1775,6.34
1503960366,4/22/2016,Sunday,12764,4.760000229,1.120000005,2.24000001,0,66,27,130,1217,1827,8.12
1503960366,4/23/2016,Monday,14371,2.809999943,0.870000005,5.360000134,0,41,21,262,732,1949,9.04
1503960366,4/24/2016,Tuesday,10039,2.920000076,0.209999993,3.279999971,0,39,5,238,709,1788,6.41
1503960366,4/25/2016,Wednesday,15355,5.289999962,0.569999993,3.940000057,0,73,14,216,814,2013,9.8
1503960366,4/26/2016,Thursday,13755,2.329999924,0.920000017,5.539999962,0,31,23,279,833,1970,8.79
1503960366,4/27/2016,Friday,18134,6.400000095,0.409999996,5.409999847,0,78,11,243,1108,2159,12.22
1503960366,4/28/2016,Saturday,13154,3.539999962,1.159999967,3.789999962,0,48,28,189,782,1898,8.49
1503960366,4/29/2016,Sunday,11181,1.059999943,0.5,5.579999924,0,16,12,243,815,1837,7.14
1503960366,4/30/2016,Monday,14673,3.559999943,1.419999957,4.269999981,0,52,34,217,712,1947,9.25
1503960366,5/1/2016,Sunday,10602,2.289999962,1.600000024,2.920000076,0,33,35,246,730,1820,6.81
1503960366,5/2/2016,Monday,14727,3.210000038,0.569999993,5.920000076,0,41,15,277,798,2004,9.7
1503960366,5/3/2016,Tuesday,15103,3.730000019,1.049999952,4.880000114,0,50,24,254,816,1990,9.66
1503960366,5/4/2016,Wednesday,11100,2.460000038,0.870000005,3.819999933,0,36,22,203,1179,1819,7.15
